SPUD_DATE,API,OGO_NUM,OPERATOR,REGION,COUNTY,MUNICIPALITY,FARM_NAME,WELL_CODE_DESC,WELL_STATUS,LATITUDE,LONGITUDE,CONFIGURATION,UNCONVENTIONAL
5/24/2002,125-22033,OGO-49020,BELDEN & BLAKE CORP,EP DOGO SWDO Dstr Off,Washington,Hanover Twp,ANDERSON UNIT 1,GAS,Active,40.464666,-80.477888,Vertical Well,Yes
5/31/2003,125-22074,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,RENZ 1,GAS,Active,40.283161,-80.284025,Vertical Well,Yes
6/14/2003,063-33347,OGO-38958,XTO ENERGY INC,EP DOGO SWDO Dstr Off,Indiana,Grant Twp,LEONARD MUMAU 2,GAS,Active,40.805625,-78.939934,Vertical Well,Yes
8/27/2003,129-25004,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Westmoreland,South Huntingdon Twp,HEPLER CALVIN 1,COMB. OIL&GAS,Regulatory Inactive Status,40.158995,-79.701812,Vertical Well,Yes
9/6/2003,129-25012,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Westmoreland,South Huntingdon Twp,STAHL E 1,COMB. OIL&GAS,Active,40.156023,-79.723396,Vertical Well,Yes
2/27/2004,129-25209,OGO-33810,GREAT OAK ENERGY INC,EP DOGO SWDO Dstr Off,Westmoreland,Salem Twp,EXPORT FUEL 1,GAS,Active,40.435439,-79.584499,Vertical Well,Yes
9/2/2004,111-20254,OGO-38958,XTO ENERGY INC,EP DOGO SWDO Dstr Off,Somerset,Upper Turkeyfoot Twp,LARRY VOUGH 1,GAS,Active,39.90508,-79.278799,Vertical Well,Yes
4/26/2005,129-25570,OGO-39223,MIEKA LLC,EP DOGO SWDO Dstr Off,Westmoreland,Hempfield Twp,SCHIMIZZI S&M 1,GAS,Active,40.327894,-79.488102,Vertical Well,Yes
6/6/2005,015-20051,OGO-63815,TALISMAN ENERGY USA INC,EP DOGO NCDO Dstr Off,Bradford,Wells Twp,BAYLES 1,GAS,Regulatory Inactive Status,41.955498,-76.860808,Vertical Well,Yes
6/18/2005,125-22088,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,DEISEROTH 1,GAS,Active,40.280022,-80.291997,Vertical Well,Yes
7/13/2005,125-22205,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,RENZ 2,COMB. OIL&GAS,Active,40.276911,-80.286303,Vertical Well,Yes
7/28/2005,125-22212,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 1,COMB. OIL&GAS,Plugged OG Well,40.275861,-80.307888,Vertical Well,Yes
11/27/2005,047-23579,OGO-67805,SWEPI LP,EP DOGO NWDO Dstr Off,Elk,Jones Twp,REETZ 1691,GAS,Regulatory Inactive Status,41.570395,-78.616798,Vertical Well,Yes
12/5/2005,125-22261,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 3,COMB. OIL&GAS,Active,40.272722,-80.314388,Vertical Well,Yes
12/9/2005,125-22238,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,DEISEROTH 2,COMB. OIL&GAS,Active,40.284467,-80.291858,Vertical Well,Yes
1/20/2006,125-22258,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CARTER 1,COMB. OIL&GAS,Plugged OG Well,40.306689,-80.318166,Vertical Well,Yes
2/13/2006,125-22252,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 1,COMB. OIL&GAS,Active,40.268912,-80.371139,Vertical Well,Yes
2/20/2006,125-22259,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 5H,GAS,Plugged OG Well,40.283134,-80.302942,Horizontal Well,Yes
2/22/2006,005-28066,OGO-17647,SNYDER BROS INC,EP DOGO SWDO Dstr Off,Armstrong,West Franklin Twp,MILLIGAN-SNYDER UNIT 3,GAS,Active,40.837693,-79.687642,Vertical Well,Yes
3/6/2006,019-21405,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Clay Twp,EDMOND WOZNIAK ET UX 1,GAS,Active,40.963514,-79.948428,Vertical Well,Yes
4/6/2006,125-22264,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 2,COMB. OIL&GAS,Active,40.265388,-80.366222,Vertical Well,Yes
4/10/2006,059-23659,OGO-33798,ENERGY CORP OF AMER,EP DOGO SWDO Dstr Off,Greene,Cumberland Twp,PHILLIPPI 2,GAS,Active,39.898301,-80.017237,Vertical Well,Yes
4/17/2006,125-22265,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 3,COMB. OIL&GAS,Active,40.270245,-80.377306,Horizontal Well,Yes
4/27/2006,125-22283,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ROMANETTI UNIT 2,COMB. OIL&GAS,Plugged OG Well,40.252328,-80.353277,Vertical Well,Yes
5/2/2006,125-22300,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 6,COMB. OIL&GAS,Active,40.272439,-80.313192,Vertical Well,Yes
5/26/2006,005-28706,OGO-36838,CAMPBELL OIL & GAS INC,EP DOGO SWDO Dstr Off,Armstrong,East Franklin Twp,A J STOREY 1,GAS,Active,40.854547,-79.60313,Vertical Well,Yes
6/19/2006,125-22366,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ALEXANDER UNIT 1H,COMB. OIL&GAS,Plugged OG Well,40.287944,-80.314166,Horizontal Well,Yes
6/27/2006,019-21423,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Clay Twp,EDMOND A WOZNIAK ET UX 2,GAS,Active,40.960848,-79.948595,Vertical Well,Yes
7/15/2006,125-22317,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,EBERLE 1,COMB. OIL&GAS,Active,40.262884,-80.330637,Vertical Well,Yes
8/14/2006,125-22401,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,NISHNICK 1,GAS,Active,40.285884,-80.321193,Vertical Well,Yes
8/21/2006,125-22348,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Hanover Twp,STARVAGGI INDUSTRIES INC B2,GAS,Regulatory Inactive Status,40.409011,-80.475213,Vertical Well,Yes
8/25/2006,083-51202,OGO-63430,M & M ROYALTY LTD,EP DOGO NWDO Dstr Off,McKean,Liberty Twp,MANTZ 6,GAS,Active,41.779184,-78.272091,Vertical Well,Yes
8/31/2006,125-22410,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Independence Twp,MOLNAR UNIT 1,GAS,Active,40.260333,-80.503138,Vertical Well,Yes
9/1/2006,125-22391,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Hanover Twp,STARVAGGI INDUSTRIES INC C-3,GAS,Regulatory Inactive Status,40.400726,-80.489836,Vertical Well,Yes
9/6/2006,047-23782,OGO-67805,SWEPI LP,EP DOGO NWDO Dstr Off,Elk,Jones Twp,REETZ 1921,GAS,Active,41.573489,-78.618457,Vertical Well,Yes
9/22/2006,125-22277,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ROMANETTI UNIT 1,COMB. OIL&GAS,Plugged OG Well,40.258773,-80.359888,Vertical Well,Yes
9/22/2006,015-20062,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NCDO Dstr Off,Bradford,Ridgebury Twp,DUFFEY UNIT 1,COMB. OIL&GAS,Plugged OG Well,41.952313,-76.659666,Vertical Well,Yes
9/25/2006,115-20007,OGO-10897,CABOT OIL & GAS CORP,EP DOGO NCDO Dstr Off,Susquehanna,Springville Twp,TEEL 1,GAS,Active,41.713152,-75.877926,Vertical Well,Yes
10/6/2006,125-22415,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 3,COMB. OIL&GAS,Plugged OG Well,40.276689,-80.354305,Vertical Well,Yes
10/12/2006,015-20064,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NCDO Dstr Off,Bradford,Ridgebury Twp,TRUSSO UNIT 1,COMB. OIL&GAS,Plugged OG Well,41.978248,-76.638759,Vertical Well,Yes
10/13/2006,083-51038,OGO-63430,M & M ROYALTY LTD,EP DOGO NWDO Dstr Off,McKean,Norwich Twp,BLACK STONE 53,GAS,Active,41.755254,-78.411263,Vertical Well,Yes
10/17/2006,019-21421,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Buffalo Twp,JOHN OBRINGER ET UX 1,GAS,Active,40.678731,-79.750586,Vertical Well,Yes
10/19/2006,125-22420,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 1,GAS,Plugged OG Well,40.26805,-80.347638,Vertical Well,Yes
10/27/2006,051-23451,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Fayette,Springhill Twp,RICH FARMS 7,GAS,Active,39.769508,-79.802347,Horizontal Well,Yes
11/13/2006,051-23452,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Fayette,Washington Twp,ORR 28,GAS,Active,40.115393,-79.795545,Vertical Well,Yes
11/17/2006,005-28666,OGO-2239,DOMINION TRANS INC,EP DOGO SWDO Dstr Off,Armstrong,South Bend Twp,MATTHEW MILLER 2,GAS,Active,40.646667,-79.386925,Vertical Well,Yes
11/29/2006,125-22414,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 2A,COMB. OIL&GAS,Plugged OG Well,40.275134,-80.342943,Vertical Well,Yes
12/12/2006,125-22433,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 4,GAS,Plugged OG Well,40.271217,-80.353499,Vertical Well,Yes
12/14/2006,117-20185,OGO-63640,ULTRA RESOURCES INC,EP DOGO NCDO Dstr Off,Tioga,Gaines Twp,MARSHLANDS UNIT 3,GAS,Active,41.698977,-77.548429,Vertical Well,Yes
12/22/2006,125-22495,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 6,COMB. OIL&GAS,Plugged OG Well,40.274356,-80.34886,Vertical Well,Yes
12/26/2006,059-24036,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Cumberland Twp,HEADLEE 6,GAS,Active,39.908954,-79.951979,Vertical Well,Yes
1/5/2007,019-21438,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Connoquenessing Twp,STEVEN LESNEY ET UX 1,GAS,Active,40.881535,-79.980124,Vertical Well,Yes
1/10/2007,125-22508,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CLINGERMAN-THOMAS UNIT 1A,GAS,Active,40.250967,-80.324304,Vertical Well,Yes
1/17/2007,125-22440,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 4,COMB. OIL&GAS,Active,40.260662,-80.375972,Vertical Well,Yes
1/18/2007,105-21423,OGO-10375,JJ BUCHER PRODUCING CORP,EP DOGO NCDO Dstr Off,Potter,Roulette Twp,KAPLE YX208,GAS,Active,41.791944,-78.167232,Vertical Well,Yes
1/22/2007,105-21301,OGO-63025,PA GEN ENERGY CO LLC,EP DOGO NCDO Dstr Off,Potter,Keating Twp,REED RUN 1942,GAS,Active,41.715845,-78.147149,Vertical Well,Yes
1/31/2007,125-22431,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 5,COMB. OIL&GAS,Plugged OG Well,40.270939,-80.363722,Vertical Well,Yes
1/31/2007,125-22447,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ALEXANDER UNIT 2,GAS,Active,40.2833,-80.310137,Vertical Well,Yes
2/12/2007,125-22434,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CHRISTMAN UNIT 6,GAS,Plugged OG Well,40.26605,-80.358833,Vertical Well,Yes
2/16/2007,125-22509,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CLINGERMAN-THOMAS UNIT 2,GAS,Active,40.253328,-80.318387,Vertical Well,Yes
2/21/2007,125-22500,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CARTER UNIT 4,GAS,Plugged OG Well,40.301606,-80.32125,Vertical Well,Yes
2/26/2007,105-21240,OGO-63025,PA GEN ENERGY CO LLC,EP DOGO NCDO Dstr Off,Potter,Keating Twp,WARRANT 3914 1907,GAS,Plugged OG Well,41.713803,-78.14474,Vertical Well,Yes
3/5/2007,125-22471,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,HERMAN P UNIT 1,COMB. OIL&GAS,Active,40.295661,-80.297997,Vertical Well,Yes
3/16/2007,125-22472,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,HERMAN P UNIT 2,COMB. OIL&GAS,Active,40.298578,-80.291914,Vertical Well,Yes
3/21/2007,047-23827,OGO-67805,SWEPI LP,EP DOGO NWDO Dstr Off,Elk,Jones Twp,KOCJANCIC 1966,GAS,Regulatory Inactive Status,41.568364,-78.634235,Vertical Well,Yes
3/28/2007,125-22582,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,MILLER EDWIN 2,COMB. OIL&GAS,Active,40.32205,-80.333248,Vertical Well,Yes
3/30/2007,105-21302,OGO-63025,PA GEN ENERGY CO LLC,EP DOGO NCDO Dstr Off,Potter,Pleasant Valley Twp,FISK HOLLOW 1944,GAS,Active,41.847794,-78.15756,Vertical Well,Yes
4/9/2007,105-21299,OGO-63025,PA GEN ENERGY CO LLC,EP DOGO NCDO Dstr Off,Potter,Pleasant Valley Twp,FISK HOLLOW NORTH 1943,GAS,Plugged OG Well,41.878349,-78.156015,Vertical Well,Yes
4/12/2007,125-22532,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ORTON 1,COMB. OIL&GAS,Active,40.270495,-80.339027,Vertical Well,Yes
4/13/2007,125-22620,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,NISHNICK UNIT 2,COMB. OIL&GAS,Active,40.292356,-80.324387,Vertical Well,Yes
4/13/2007,033-26401,OGO-37268,EOG RESOURCES INC,EP DOGO NCDO Dstr Off,Clearfield,Lawrence Twp,PUNXSUTAWNEY HUNTING CLUB 1,GAS,Regulatory Inactive Status,41.162892,-78.453158,Vertical Well,Yes
4/24/2007,125-22548,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ROMANETTI UNIT 5,GAS,Plugged OG Well,40.256194,-80.348444,Vertical Well,Yes
4/25/2007,031-24616,OGO-47960,TEXAS KEYSTONE INC,EP DOGO NWDO Dstr Off,Clarion,Limestone Twp,JUDY BOWSER 3 CLA,GAS,Active,41.150636,-79.215881,Vertical Well,Yes
4/27/2007,051-23464,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Fayette,Nicholson Twp,TRIPLETT 2,GAS,Active,39.78148,-79.860099,Vertical Well,Yes
4/30/2007,125-22533,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ORTON 2,COMB. OIL&GAS,Active,40.270523,-80.332804,Vertical Well,Yes
5/1/2007,059-24229,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Greene Twp,RAZILLARD 1,GAS,Active,39.802166,-80.004903,Vertical Well,Yes
5/10/2007,125-22619,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,STEWART NANCY UNIT 1,COMB. OIL&GAS,Active,40.284884,-80.351527,Vertical Well,Yes
5/11/2007,051-23607,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Fayette,Nicholson Twp,BENNINGER 24,GAS,Active,39.799474,-79.868279,Vertical Well,Yes
5/11/2007,125-22536,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ORTON 5,COMB. OIL&GAS,Plugged OG Well,40.261189,-80.345277,Vertical Well,Yes
5/11/2007,031-24654,OGO-47960,TEXAS KEYSTONE INC,EP DOGO NWDO Dstr Off,Clarion,Clarion Twp,C & K MCCULLOUGH 114 CLA,GAS,Active,41.195374,-79.21307,Vertical Well,Yes
5/12/2007,125-22537,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ORTON 6,COMB. OIL&GAS,Active,40.260078,-80.338721,Vertical Well,Yes
5/20/2007,125-22641,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,STEWART NANCY UNIT 4,GAS,Active,40.284689,-80.346527,Horizontal Well,Yes
5/22/2007,031-24652,OGO-47960,TEXAS KEYSTONE INC,EP DOGO NWDO Dstr Off,Clarion,Clarion Twp,C & K MCCULLOUGH 109 CLA,GAS,Active,41.20133,-79.2145,Vertical Well,Yes
5/24/2007,125-22618,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Hopewell Twp,CROSS CREEK COUNTY PARK 5,GAS,Active,40.250717,-80.378583,Vertical Well,Yes
5/25/2007,125-22639,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 9,GAS,Active,40.272411,-80.308637,Vertical Well,Yes
5/25/2007,005-29285,OGO-33314,BLX INC,EP DOGO SWDO Dstr Off,Armstrong,South Buffalo Twp,DAVID G HILL 3-135,GAS,Active,40.74445,-79.617755,Vertical Well,Yes
6/1/2007,059-24212,OGO-33798,ENERGY CORP OF AMER,EP DOGO SWDO Dstr Off,Greene,Cumberland Twp,MOHR 3,GAS,Active,39.867171,-80.048502,Vertical Well,Yes
6/5/2007,125-22629,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,DEISEROTH 3,GAS,Active,40.278911,-80.296942,Vertical Well,Yes
6/6/2007,125-22637,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,LEHMAN UNIT 1,GAS,Active,40.298717,-80.378639,Horizontal Well,Yes
6/18/2007,125-22638,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 8,GAS,Plugged OG Well,40.261995,-80.371777,Horizontal Well,Yes
6/19/2007,125-22705,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,RENZ 4,GAS,Active,40.280967,-80.281191,Vertical Well,Yes
6/21/2007,125-22600,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Hopewell Twp,LOWRY WILLIAM UNIT 2H-A,GAS,Active,40.250995,-80.367778,Horizontal Well,Yes
6/23/2007,019-21462,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Jefferson Twp,JOHN FOERTSCH ET UX 1,GAS,Active,40.761902,-79.837028,Vertical Well,Yes
6/27/2007,019-21469,OGO-61625,WILLIAM MCINTIRE COAL OIL & GAS,EP DOGO NWDO Dstr Off,Butler,Clay Twp,WOKUTCH 20,GAS,Plugged OG Well,40.960842,-79.956064,Vertical Well,Yes
7/1/2007,129-26958,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Westmoreland,South Huntingdon Twp,HUBER 13,GAS,Active,40.246022,-79.755924,Vertical Well,Yes
7/3/2007,019-21456,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Jefferson Twp,JOHN FOERTSCH ET UX 2,Multiple Well bore type,Active,40.764076,-79.83932,Vertical Well,Yes
7/6/2007,019-21451,OGO-61625,WILLIAM MCINTIRE COAL OIL & GAS,EP DOGO NWDO Dstr Off,Butler,Center Twp,SAUL 4,GAS,Active,40.922029,-79.96764,Vertical Well,Yes
7/9/2007,125-22709,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CARNS UNIT 2,GAS,Active,40.280578,-80.379972,Vertical Well,Yes
7/9/2007,125-22669,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,STEWART NANCY UNIT 8,GAS,Active,40.288272,-80.345443,Vertical Well,Yes
7/10/2007,015-20075,OGO-37268,EOG RESOURCES INC,EP DOGO NCDO Dstr Off,Bradford,Springfield Twp,OLSYN 2,GAS,Regulatory Inactive Status,41.862734,-76.708772,Vertical Well,Yes
7/11/2007,019-21465,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Forward Twp,PHYLLIS A WYLIE 1,GAS,Active,40.789047,-79.999619,Vertical Well,Yes
7/17/2007,019-21454,OGO-33314,BLX INC,EP DOGO NWDO Dstr Off,Butler,Winfield Twp,W WATSON 1 47.6,GAS,Active,40.772799,-79.72358,Vertical Well,Yes
7/17/2007,015-20076,OGO-37268,EOG RESOURCES INC,EP DOGO NCDO Dstr Off,Bradford,Springfield Twp,OLSYN 1,GAS,Active,41.860142,-76.711781,Horizontal Well,Yes
7/21/2007,125-22726,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CLINGERMAN THOMAS UNIT 5,GAS,Active,40.256912,-80.332443,Vertical Well,Yes
7/23/2007,059-24323,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Dunkard Twp,MILLER 48,GAS,Active,39.726803,-80.015357,Vertical Well,Yes
7/23/2007,081-20056,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NCDO Dstr Off,Lycoming,Cogan House Twp,BOBST MTN HUNTING CLUB 1,GAS,Active,41.376698,-77.137139,Vertical Well,Yes
7/24/2007,125-22724,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CLINGERMAN THOMAS UNIT 3-H,GAS,Active,40.248412,-80.328554,Horizontal Well,Yes
7/27/2007,059-24335,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Dunkard Twp,CLINE 5,GAS,Active,39.725115,-80.010918,Vertical Well,Yes
8/4/2007,125-22723,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,DUNN CLINGERMAN UNIT 4,GAS,Active,40.254189,-80.320998,Horizontal Well,Yes
8/8/2007,059-24384,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Dunkard Twp,MATHEWS 29A,GAS,Active,39.726459,-79.990384,Vertical Well,Yes
8/8/2007,125-22499,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CARTER UNIT 3,COMB. OIL&GAS,Plugged OG Well,40.3055,-80.326305,Vertical Well,Yes
8/13/2007,125-22758,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Chartiers Twp,JOHNSTON CHARLES UNIT 1,GAS,Active,40.277106,-80.240023,Horizontal Well,Yes
8/15/2007,005-29428,OGO-38602,MDS ENERGY LTD,EP DOGO SWDO Dstr Off,Armstrong,North Buffalo Twp,MICHAEL J LORD ETUX 1-5,GAS,Active,40.774113,-79.568855,Vertical Well,Yes
8/15/2007,123-43847,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NWDO Dstr Off,Warren,Pittsfield Twp,BEDOW RODNEY 1,COMB. OIL&GAS,Active,41.772196,-79.461747,Vertical Well,Yes
8/19/2007,027-21117,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NCDO Dstr Off,Centre,Snow Shoe Twp,GULF USA 9,GAS,Active,41.00662,-77.960779,Vertical Well,Yes
8/20/2007,125-22688,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,STEWART NANCY UNIT 6,GAS,Active,40.2833,-80.343304,Vertical Well,Yes
8/21/2007,125-22505,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,PEACOCK 2,COMB. OIL&GAS,Active,40.290356,-80.294969,Vertical Well,Yes
8/23/2007,123-43883,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NWDO Dstr Off,Warren,Eldred Twp,MERRY LP 1,COMB. OIL&GAS,Active,41.760214,-79.554144,Vertical Well,Yes
8/27/2007,047-23921,OGO-67805,SWEPI LP,EP DOGO NWDO Dstr Off,Elk,Jones Twp,REETZ 2012,GAS,Active,41.572733,-78.62881,Vertical Well,Yes
8/30/2007,059-24385,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Dunkard Twp,MATTHEWS 30,GAS,Active,39.724378,-79.98755,Vertical Well,Yes
9/1/2007,125-22864,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,PEACOCK 3,GAS,Active,40.289717,-80.298081,Vertical Well,Yes
