COUNTY,NAME,Total Population,Population Under 18,Population Age 20-64,Population Age 62 and over,Population Age 65 and over,Median Age,Population of one Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and other Pacific Islander Alone,Some Other Race Alone,Population of Two or more Races,Hispanic or Latino,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,Total Households,Family Households,Family Households With own children under 18,Husband-Wife Family,Husband-Wife Family With own children under 18,"Male householder, no wife present","Male householder, no wife present With own children under 18","Female householder, no husband present","Female householder, no husband present With own children under 18",Non-Family Households,Average Household Size,Average Family Size,Total Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units
051,Fayette County,136606,27680,81268,29807,24580,43.6,134767,127418,6325,184,405,24,411,1839,1049,354,168,24,503,135557,55997,37068,13609,26866,8574,2858,1306,7344,3729,18929,2.36,2.89,55997,40247,15750
053,Forest County,7716,957,5163,1732,1418,43,7670,5937,1389,13,12,1,318,46,418,26,85,1,306,7298,2511,1488,392,1252,283,94,41,142,68,1023,2.08,2.67,2511,2061,450
055,Franklin County,149618,35740,85295,29935,24679,40.1,146864,137674,4700,302,1310,29,2849,2754,6438,2634,1354,109,2341,143180,58389,41139,16817,32963,11953,2702,1632,5474,3232,17250,2.52,2.97,58389,42883,15506
057,Fulton County,14845,3431,8535,3119,2544,41.8,14691,14450,151,28,19,1,42,154,123,56,18,1,48,14722,6014,4191,1650,3345,1170,339,190,507,290,1823,2.45,2.9,6014,4617,1397
059,Greene County,38686,7680,23791,7356,5931,41.1,38311,36584,1282,67,113,7,258,375,465,130,53,10,272,38221,14724,9970,3789,7585,2585,778,408,1607,796,4754,2.42,2.91,14724,10681,4043
061,Huntingdon County,45913,9244,27796,9206,7458,41.2,45489,42470,2392,41,184,2,400,424,727,150,91,10,476,45186,17280,11684,4478,9347,3168,838,453,1499,857,5596,2.39,2.89,17280,13136,4144
063,Indiana County,88880,16846,52589,16960,13944,38.3,88043,84360,2434,124,774,10,341,837,947,289,211,40,407,87933,35005,21768,8034,17383,5857,1452,682,2933,1495,13237,2.39,2.91,35005,24082,10923
065,Jefferson County,45200,9757,25881,9870,8255,43,44839,44446,157,86,92,3,55,361,275,109,64,9,93,44925,18561,12458,4753,9812,3339,908,466,1738,948,6103,2.39,2.91,18561,13906,4655
067,Juniata County,24636,5913,13998,5042,4134,40.9,24394,23845,151,31,85,3,279,242,623,77,195,2,349,24013,9476,6839,2656,5662,2011,454,256,723,389,2637,2.57,3.01,9476,7213,2263
069,Lackawanna County,214437,43947,125944,45817,37895,41.8,211141,197296,5423,330,3644,55,4393,3296,10682,2463,4656,222,3341,203755,87226,54670,22021,39623,14533,4256,1891,10791,5597,32556,2.37,2.98,87226,57353,29873
071,Lancaster County,519445,129015,297045,94426,77780,38.2,509244,460171,19035,1195,9860,164,18819,10201,44930,3803,30403,1713,9011,474515,193602,135401,57998,109118,43353,7670,3943,18613,10702,58201,2.62,3.13,193602,132703,60899
073,Lawrence County,91108,19352,52157,20465,17128,43.6,89635,85484,3501,74,370,10,196,1473,931,352,290,39,250,90177,37126,24852,9336,18546,6287,1733,743,4573,2306,12274,2.39,2.94,37126,27967,9159
075,Lebanon County,133568,30765,76664,27464,22729,41,131435,121566,2885,250,1533,36,5165,2133,12410,1067,8898,254,2191,121158,52258,36111,14565,28512,10325,2318,1188,5281,3052,16147,2.49,2.98,52258,37622,14636
077,Lehigh County,349497,82680,205635,63007,51604,39.4,339442,276286,21440,1279,10247,126,30064,10055,65615,3829,37980,859,22947,283882,133983,90160,40018,66509,26371,6427,3329,17224,10318,43823,2.54,3.08,133983,90846,43137
079,Luzerne County,320918,64800,189007,69618,57595,42.5,316015,290943,10767,558,3135,57,10555,4903,21491,3933,5443,314,11801,299427,131932,83091,32512,59213,20597,6915,3110,16963,8805,48841,2.34,2.94,131932,89742,42190
081,Lycoming County,116111,24212,68666,23192,19112,41.1,114110,107573,5203,217,671,25,421,2001,1559,475,580,57,447,114552,46700,30180,11984,22820,7672,2313,1313,5047,2999,16520,2.37,2.88,46700,31821,14879
083,McKean County,43450,9149,25559,8901,7381,41.5,43063,41661,1046,100,193,3,60,387,757,436,180,10,131,42693,17183,11063,4438,8209,2775,929,553,1925,1110,6120,2.34,2.86,17183,12640,4543
085,Mercer County,116638,25229,66266,25691,21556,42.8,114881,106890,6726,156,728,16,365,1757,1248,452,288,43,465,115390,46442,30744,11744,23244,7767,2096,972,5404,3005,15698,2.37,2.91,46442,33938,12504
087,Mifflin County,46682,10784,26221,10441,8643,42.5,46201,45531,300,52,168,7,143,481,534,131,281,3,119,46148,18743,12729,4903,10143,3467,838,480,1748,956,6014,2.46,2.98,18743,13613,5130
089,Monroe County,169842,40574,101477,27409,21701,40.3,164940,131162,22348,572,3484,79,7295,4902,22288,1082,12536,764,7906,147554,61091,44161,19683,34049,14201,3101,1525,7011,3957,16930,2.72,3.17,61091,48017,13074
091,Montgomery County,799874,183499,477378,146928,120727,40.6,784354,649021,69351,1174,51565,296,12947,15520,34233,13386,9356,1338,10153,765641,307750,208959,93360,168592,73792,11091,4948,29276,14620,98791,2.53,3.09,307750,225001,82749
093,Montour County,18267,3874,10612,4071,3395,43.9,18093,17408,256,16,326,2,85,174,324,74,108,27,115,17943,7393,4801,1871,3864,1349,273,145,664,377,2592,2.36,2.92,7393,5313,2080
095,Northampton County,297735,65177,176369,57009,46606,40.9,291080,256895,14986,609,7203,98,11289,6655,31179,3197,18805,647,8530,266556,113565,78219,32612,60533,23239,5096,2467,12590,6906,35346,2.53,3.02,113565,82719,30846
097,Northumberland County,94528,19443,55553,21169,17516,43.4,93540,90156,1921,146,332,13,972,988,2253,401,1169,36,647,92275,39242,25373,9653,19439,6374,1904,1021,4030,2258,13869,2.32,2.86,39242,28413,10829
099,Perry County,45969,10706,27816,8025,6294,41.1,45503,44779,296,72,164,19,173,466,588,162,269,24,133,45381,17903,12863,5017,10456,3706,853,452,1554,859,5040,2.53,2.96,17903,14210,3693
